"token","layer","documented","type","nameZh","nameEn","descriptionZh","descriptionEn","defaultValue","darkValue","compactValue","darkCompactValue","sourceUrl"
"blue8","runtime-computed","false","string","","","","","#003eb3","#65a9f3","#003eb3","#65a9f3","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blue9","runtime-computed","false","string","","","","","#002c8c","#8dc5f8","#002c8c","#8dc5f8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blueActive","runtime-computed","false","string","","","","","#0958d9","#3c89e8","#0958d9","#3c89e8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"blueHover","runtime-computed","false","string","","","","","#4096ff","#1554ad","#4096ff","#1554ad","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"borderRadius","seed","true","number","基础圆角","Base Border Radius","基础组件的圆角大小，例如按钮、输入框、卡片等","Border radius of base components","6","6","6","6","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"borderRadiusLG","map","true","number","LG号圆角","LG Border Radius","LG号圆角，用于组件中的一些大圆角，如 Card、Modal 等一些组件样式。","LG size border radius, used in some large border radius components, such as Card, Modal and other components.","8","8","8","8","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"borderRadiusOuter","map","true","number","外部圆角","Outer Border Radius","外部圆角","Outer border radius","4","4","4","4","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"borderRadiusSM","map","true","number","SM号圆角","SM Border Radius","SM号圆角，用于组件小尺寸下的圆角，如 Button、Input、Select 等输入类控件在 small size 下的圆角","SM size border radius, used in small size components, such as Button, Input, Select and other input components in small size","4","4","4","4","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"borderRadiusXS","map","true","number","XS号圆角","XS Border Radius","XS号圆角，用于组件中的一些小圆角，如 Segmented 、Arrow 等一些内部圆角的组件样式中。","XS size border radius, used in some small border radius components, such as Segmented, Arrow and other components with small border radius.","2","2","2","2","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"boxShadow","alias","true","string","一级阴影","Box shadow","控制元素阴影样式。","Control the box shadow style of an element.","
      0 6px 16px 0 rgba(0,0,0,0.08),
      0 3px 6px -4px rgba(0,0,0,0.12),
      0 9px 28px 8px rgba(0,0,0,0.05)
    ","
      0 6px 16px 0 rgba(255,255,255,0.016),
      0 3px 6px -4px rgba(255,255,255,0.024),
      0 9px 28px 8px rgba(255,255,255,0.010000000000000002)
    ","
      0 6px 16px 0 rgba(0,0,0,0.08),
      0 3px 6px -4px rgba(0,0,0,0.12),
      0 9px 28px 8px rgba(0,0,0,0.05)
    ","
      0 6px 16px 0 rgba(255,255,255,0.016),
      0 3px 6px -4px rgba(255,255,255,0.024),
      0 9px 28px 8px rgba(255,255,255,0.010000000000000002)
    ","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"boxShadowCard","runtime-computed","false","string","","","","","
      0 1px 2px -2px rgba(0,0,0,0.16),
      0 3px 6px 0 rgba(0,0,0,0.12),
      0 5px 12px 4px rgba(0,0,0,0.09)
    ","
      0 1px 2px -2px rgba(255,255,255,0.032),
      0 3px 6px 0 rgba(255,255,255,0.024),
      0 5px 12px 4px rgba(255,255,255,0.018)
    ","
      0 1px 2px -2px rgba(0,0,0,0.16),
      0 3px 6px 0 rgba(0,0,0,0.12),
      0 5px 12px 4px rgba(0,0,0,0.09)
    ","
      0 1px 2px -2px rgba(255,255,255,0.032),
      0 3px 6px 0 rgba(255,255,255,0.024),
      0 5px 12px 4px rgba(255,255,255,0.018)
    ","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"boxShadowDrawerDown","runtime-computed","false","string","","","","","
      0 -6px 16px 0 rgba(0,0,0,0.08),
      0 -3px 6px -4px rgba(0,0,0,0.12),
      0 -9px 28px 8px rgba(0,0,0,0.05)
    ","
      0 -6px 16px 0 rgba(255,255,255,0.016),
      0 -3px 6px -4px rgba(255,255,255,0.024),
      0 -9px 28px 8px rgba(255,255,255,0.010000000000000002)
    ","
      0 -6px 16px 0 rgba(0,0,0,0.08),
      0 -3px 6px -4px rgba(0,0,0,0.12),
      0 -9px 28px 8px rgba(0,0,0,0.05)
    ","
      0 -6px 16px 0 rgba(255,255,255,0.016),
      0 -3px 6px -4px rgba(255,255,255,0.024),
      0 -9px 28px 8px rgba(255,255,255,0.010000000000000002)
    ","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"boxShadowDrawerLeft","runtime-computed","false","string","","","","","
      6px 0 16px 0 rgba(0,0,0,0.08),
      3px 0 6px -4px rgba(0,0,0,0.12),
      9px 0 28px 8px rgba(0,0,0,0.05)
    ","
      6px 0 16px 0 rgba(255,255,255,0.016),
      3px 0 6px -4px rgba(255,255,255,0.024),
      9px 0 28px 8px rgba(255,255,255,0.010000000000000002)
    ","
      6px 0 16px 0 rgba(0,0,0,0.08),
      3px 0 6px -4px rgba(0,0,0,0.12),
      9px 0 28px 8px rgba(0,0,0,0.05)
    ","
      6px 0 16px 0 rgba(255,255,255,0.016),
      3px 0 6px -4px rgba(255,255,255,0.024),
      9px 0 28px 8px rgba(255,255,255,0.010000000000000002)
    ","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"boxShadowDrawerRight","runtime-computed","false","string","","","","","
      -6px 0 16px 0 rgba(0,0,0,0.08),
      -3px 0 6px -4px rgba(0,0,0,0.12),
      -9px 0 28px 8px rgba(0,0,0,0.05)
    ","
      -6px 0 16px 0 rgba(255,255,255,0.016),
      -3px 0 6px -4px rgba(255,255,255,0.024),
      -9px 0 28px 8px rgba(255,255,255,0.010000000000000002)
    ","
      -6px 0 16px 0 rgba(0,0,0,0.08),
      -3px 0 6px -4px rgba(0,0,0,0.12),
      -9px 0 28px 8px rgba(0,0,0,0.05)
    ","
      -6px 0 16px 0 rgba(255,255,255,0.016),
      -3px 0 6px -4px rgba(255,255,255,0.024),
      -9px 0 28px 8px rgba(255,255,255,0.010000000000000002)
    ","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"boxShadowDrawerUp","runtime-computed","false","string","","","","","
      0 6px 16px 0 rgba(0,0,0,0.08),
      0 3px 6px -4px rgba(0,0,0,0.12),
      0 9px 28px 8px rgba(0,0,0,0.05)
    ","
      0 6px 16px 0 rgba(255,255,255,0.016),
      0 3px 6px -4px rgba(255,255,255,0.024),
      0 9px 28px 8px rgba(255,255,255,0.010000000000000002)
    ","
      0 6px 16px 0 rgba(0,0,0,0.08),
      0 3px 6px -4px rgba(0,0,0,0.12),
      0 9px 28px 8px rgba(0,0,0,0.05)
    ","
      0 6px 16px 0 rgba(255,255,255,0.016),
      0 3px 6px -4px rgba(255,255,255,0.024),
      0 9px 28px 8px rgba(255,255,255,0.010000000000000002)
    ","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"boxShadowPopoverArrow","runtime-computed","false","string","","","","","2px 2px 5px rgba(0,0,0,0.05)","2px 2px 5px rgba(255,255,255,0.010000000000000002)","2px 2px 5px rgba(0,0,0,0.05)","2px 2px 5px rgba(255,255,255,0.010000000000000002)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"boxShadowSecondary","alias","true","string","二级阴影","Secondary box shadow","控制元素二级阴影样式。","Control the secondary box shadow style of an element.","
      0 6px 16px 0 rgba(0,0,0,0.08),
      0 3px 6px -4px rgba(0,0,0,0.12),
      0 9px 28px 8px rgba(0,0,0,0.05)
    ","
      0 6px 16px 0 rgba(255,255,255,0.016),
      0 3px 6px -4px rgba(255,255,255,0.024),
      0 9px 28px 8px rgba(255,255,255,0.010000000000000002)
    ","
      0 6px 16px 0 rgba(0,0,0,0.08),
      0 3px 6px -4px rgba(0,0,0,0.12),
      0 9px 28px 8px rgba(0,0,0,0.05)
    ","
      0 6px 16px 0 rgba(255,255,255,0.016),
      0 3px 6px -4px rgba(255,255,255,0.024),
      0 9px 28px 8px rgba(255,255,255,0.010000000000000002)
    ","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"boxShadowTabsOverflowBottom","runtime-computed","false","string","","","","","inset 0 -10px 8px -8px rgba(0,0,0,0.08)","inset 0 -10px 8px -8px rgba(255,255,255,0.016)","inset 0 -10px 8px -8px rgba(0,0,0,0.08)","inset 0 -10px 8px -8px rgba(255,255,255,0.016)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"boxShadowTabsOverflowLeft","runtime-computed","false","string","","","","","inset 10px 0 8px -8px rgba(0,0,0,0.08)","inset 10px 0 8px -8px rgba(255,255,255,0.016)","inset 10px 0 8px -8px rgba(0,0,0,0.08)","inset 10px 0 8px -8px rgba(255,255,255,0.016)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"boxShadowTabsOverflowRight","runtime-computed","false","string","","","","","inset -10px 0 8px -8px rgba(0,0,0,0.08)","inset -10px 0 8px -8px rgba(255,255,255,0.016)","inset -10px 0 8px -8px rgba(0,0,0,0.08)","inset -10px 0 8px -8px rgba(255,255,255,0.016)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"boxShadowTabsOverflowTop","runtime-computed","false","string","","","","","inset 0 10px 8px -8px rgba(0,0,0,0.08)","inset 0 10px 8px -8px rgba(255,255,255,0.016)","inset 0 10px 8px -8px rgba(0,0,0,0.08)","inset 0 10px 8px -8px rgba(255,255,255,0.016)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/useToken.ts"
"boxShadowTertiary","alias","true","string","三级阴影","Tertiary box shadow","控制元素三级盒子阴影样式。","Control the tertiary box shadow style of an element.","
      0 1px 2px 0 rgba(0,0,0,0.05),
      0 1px 6px -1px rgba(0,0,0,0.03),
      0 2px 4px 0 rgba(0,0,0,0.03)
    ","
      0 1px 2px 0 rgba(255,255,255,0.010000000000000002),
      0 1px 6px -1px rgba(255,255,255,0.006),
      0 2px 4px 0 rgba(255,255,255,0.006)
    ","
      0 1px 2px 0 rgba(0,0,0,0.05),
      0 1px 6px -1px rgba(0,0,0,0.03),
      0 2px 4px 0 rgba(0,0,0,0.03)
    ","
      0 1px 2px 0 rgba(255,255,255,0.010000000000000002),
      0 1px 6px -1px rgba(255,255,255,0.006),
      0 2px 4px 0 rgba(255,255,255,0.006)
    ","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorBgBase","seed","true","string","基础背景色","Seed Background Color","用于派生背景色梯度的基础变量，v5 中我们添加了一层背景色的派生算法可以产出梯度明确的背景色的梯度变量。但请不要在代码中直接使用该 Seed Token ！","Used to derive the base variable of the background color gradient. In v5, we added a layer of background color derivation algorithm to produce map token of background color. But PLEASE DO NOT USE this Seed Token directly in the code!","#fff","#000","#fff","#000","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"colorBgBlur","map","true","string","毛玻璃容器背景色","Frosted glass container background color","控制毛玻璃容器的背景色，通常为透明色。","Control the background color of frosted glass container, usually transparent.","transparent","rgba(255,255,255,0.04)","transparent","rgba(255,255,255,0.04)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBgContainer","map","true","string","组件容器背景色","","组件的容器背景色，例如：默认按钮、输入框等。务必不要将其与 `colorBgElevated` 混淆。","Container background color, e.g: default button, input box, etc. Be sure not to confuse this with `colorBgElevated`.","#ffffff","#141414","#ffffff","#141414","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBgContainerDisabled","alias","true","string","容器禁用态下的背景色","Disabled container background color","控制容器在禁用状态下的背景色。","Control the background color of container in disabled state.","rgba(0,0,0,0.04)","rgba(255,255,255,0.08)","rgba(0,0,0,0.04)","rgba(255,255,255,0.08)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorBgElevated","map","true","string","浮层容器背景色","","浮层容器背景色，在暗色模式下该 token 的色值会比 `colorBgContainer` 要亮一些。例如：模态框、弹出框、菜单等。","Container background color of the popup layer, in dark mode the color value of this token will be a little brighter than `colorBgContainer`. E.g: modal, pop-up, menu, etc.","#ffffff","#1f1f1f","#ffffff","#1f1f1f","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBgLayout","map","true","string","布局背景色","Layout Background Color","该色用于页面整体布局的背景色，只有需要在页面中处于 B1 的视觉层级时才会使用该 token，其他用法都是错误的","This color is used for the background color of the overall layout of the page. This token will only be used when it is necessary to be at the B1 visual level in the page. Other usages are wrong.","#f5f5f5","#000000","#f5f5f5","#000000","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBgMask","map","true","string","浮层的背景蒙层颜色","Background color of the mask","浮层的背景蒙层颜色，用于遮罩浮层下面的内容，Modal、Drawer、Image 等组件的蒙层使用的是该 token","The background color of the mask, used to cover the content below the mask, Modal, Drawer, Image and other components use this token","rgba(0,0,0,0.45)","rgba(0,0,0,0.45)","rgba(0,0,0,0.45)","rgba(0,0,0,0.45)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBgSolid","map","true","string","","","实心的背景颜色，目前只用在默认实心按钮背景色上。","Solid background color, currently only used for the default solid button background color.","rgb(0,0,0)","rgba(255,255,255,0.95)","rgb(0,0,0)","rgba(255,255,255,0.95)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBgSolidActive","map","true","string","","","实心的背景颜色激活态，目前只用在默认实心按钮的 active 效果。","Solid background color active state, currently only used in the active effect of the default solid button.","rgba(0,0,0,0.95)","rgba(255,255,255,0.9)","rgba(0,0,0,0.95)","rgba(255,255,255,0.9)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBgSolidHover","map","true","string","","","实心的背景颜色悬浮态，目前只用在默认实心按钮的 hover 效果。","Solid background color hover state, currently only used in the hover effect of the default solid button.","rgba(0,0,0,0.75)","rgb(255,255,255)","rgba(0,0,0,0.75)","rgb(255,255,255)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBgSpotlight","map","true","string","引起注意的背景色","","该色用于引起用户强烈关注注意的背景色，目前只用在 Tooltip 的背景色上。","This color is used to draw the user's strong attention to the background color, and is currently only used in the background color of Tooltip.","rgba(0,0,0,0.85)","#424242","rgba(0,0,0,0.85)","#424242","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBgTextActive","alias","true","string","文本激活态背景色","Text active background color","控制文本在激活状态下的背景色。","Control the background color of text in active state.","rgba(0,0,0,0.15)","rgba(255,255,255,0.18)","rgba(0,0,0,0.15)","rgba(255,255,255,0.18)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorBgTextHover","alias","true","string","文本悬停态背景色","Text hover background color","控制文本在悬停状态下的背景色。","Control the background color of text in hover state.","rgba(0,0,0,0.06)","rgba(255,255,255,0.12)","rgba(0,0,0,0.06)","rgba(255,255,255,0.12)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorBorder","map","true","string","一级边框色","Default Border Color","默认使用的边框颜色, 用于分割不同的元素，例如：表单的分割线、卡片的分割线等。","Default border color, used to separate different elements, such as: form separator, card separator, etc.","#d9d9d9","#424242","#d9d9d9","#424242","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBorderBg","alias","true","string","背景边框颜色","Background border color","控制元素背景边框的颜色。","Control the color of background border of element.","#ffffff","#141414","#ffffff","#141414","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorBorderDisabled","map","true","string","禁用态边框颜色","Disabled state border color","控制元素在禁用状态下的边框颜色。","Control the border color of the element in the disabled state.","#d9d9d9","#424242","#d9d9d9","#424242","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorBorderSecondary","map","true","string","二级边框色","Secondary Border Color","比默认使用的边框色要浅一级，此颜色和 colorSplit 的颜色一致。使用的是实色。","Slightly lighter than the default border color, this color is the same as `colorSplit`. Solid color is used.","#f0f0f0","#303030","#f0f0f0","#303030","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorError","seed","true","string","错误色","Error Color","用于表示操作失败的 Token 序列，如失败按钮、错误状态提示（Result）组件等。","Used to represent the visual elements of the operation failure, such as the error Button, error Result component, etc.","#ff4d4f","#dc4446","#ff4d4f","#dc4446","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/seeds.ts"
"colorErrorActive","map","true","string","错误色的深色激活态","Error active color","错误色的深色激活态","The active state of the error color.","#d9363e","#ad393a","#d9363e","#ad393a","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorErrorAffix","alias","true","string","错误状态下前后缀颜色","Error affix color","控制表单控件前后缀在错误状态下的颜色。","Control the color of form control prefix/suffix in error state.","#ff4d4f","#dc4446","#ff4d4f","#dc4446","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorErrorBg","map","true","string","错误色的浅色背景颜色","Error background color","错误色的浅色背景颜色","The background color of the error state.","#fff2f0","#2c1618","#fff2f0","#2c1618","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorErrorBgActive","map","true","string","错误色的浅色背景色激活态","Error background color active state","错误色的浅色背景色激活态","The active state background color of the error state.","#ffccc7","#5b2526","#ffccc7","#5b2526","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorErrorBgFilledHover","map","true","string","错误色的浅色填充背景色悬浮态","Wrong color fill background color suspension state","错误色的浅色填充背景色悬浮态，目前只用在危险填充按钮的 hover 效果。","The wrong color fills the background color of the suspension state, which is currently only used in the hover effect of the dangerous filled button.","#ffdfdc","#441e1f","#ffdfdc","#441e1f","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorErrorBgHover","map","true","string","错误色的浅色背景色悬浮态","Error background color hover state","错误色的浅色背景色悬浮态","The hover state background color of the error state.","#fff1f0","#451d1f","#fff1f0","#451d1f","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorErrorBorder","map","true","string","错误色的描边色","Error border color","错误色的描边色","The border color of the error state.","#ffccc7","#5b2526","#ffccc7","#5b2526","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorErrorBorderHover","map","true","string","错误色的描边色悬浮态","Error border color hover state","错误色的描边色悬浮态","The hover state border color of the error state.","#ffa39e","#7e2e2f","#ffa39e","#7e2e2f","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorErrorHover","map","true","string","错误色的深色悬浮态","Error hover color","错误色的深色悬浮态","The hover state of the error color.","#ff7875","#e86e6b","#ff7875","#e86e6b","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorErrorOutline","alias","true","string","错误状态下的 Outline 颜色","Error outline color","控制输入组件错误状态下的外轮廓线颜色。","Control the outline color of input component in error state.","rgba(255,38,5,0.06)","rgba(238,38,56,0.11)","rgba(255,38,5,0.06)","rgba(238,38,56,0.11)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorErrorText","map","true","string","错误色的文本默认态","Error text default state","错误色的文本默认态","The default state of the text in the error color.","#ff4d4f","#dc4446","#ff4d4f","#dc4446","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorErrorTextActive","map","true","string","错误色的文本激活态","Error text active state","错误色的文本激活态","The active state of the text in the error color.","#d9363e","#ad393a","#d9363e","#ad393a","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorErrorTextHover","map","true","string","错误色的文本悬浮态","Error text hover state","错误色的文本悬浮态","The hover state of the text in the error color.","#ff7875","#e86e6b","#ff7875","#e86e6b","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorFill","map","true","string","一级填充色","","最深的填充色，用于拉开与二、三级填充色的区分度，目前只用在 Slider 的 hover 效果。","The darkest fill color is used to distinguish between the second and third level of fill color, and is currently only used in the hover effect of Slider.","rgba(0,0,0,0.15)","rgba(255,255,255,0.18)","rgba(0,0,0,0.15)","rgba(255,255,255,0.18)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/maps/index.ts"
"colorFillAlter","alias","true","string","替代背景色","Alternative background color","控制元素替代背景色。","Control the alternative background color of element.","rgba(0,0,0,0.02)","rgba(255,255,255,0.04)","rgba(0,0,0,0.02)","rgba(255,255,255,0.04)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorFillContent","alias","true","string","内容区域背景色","Background color of content area","控制内容区域的背景色。","Control the background color of content area.","rgba(0,0,0,0.06)","rgba(255,255,255,0.12)","rgba(0,0,0,0.06)","rgba(255,255,255,0.12)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
"colorFillContentHover","alias","true","string","内容区域背景色（悬停）","Background color of content area (hover)","控制内容区域背景色在鼠标悬停时的样式。","Control the style of background color of content area when mouse hovers over it.","rgba(0,0,0,0.15)","rgba(255,255,255,0.18)","rgba(0,0,0,0.15)","rgba(255,255,255,0.18)","https://github.com/ant-design/ant-design/blob/164a310f742f801c49b3ff748b2823d5596104bd/components/theme/interface/alias.ts"
